insee,dept,lon,lat,name
02192,02,3.24330,49.21540,Chouy
02193,02,3.60220,49.16590,Cierges
02194,02,3.84210,49.74730,Cilly
02195,02,3.46640,49.36930,Ciry-Salsogne
02196,02,3.56510,49.55460,Clacy-et-Thierret
02197,02,3.99190,49.96900,Clairfontaine
02198,02,3.36540,49.42740,Clamecy
02199,02,3.22800,49.74910,Clastres
02200,02,3.94480,49.66020,Clermont-les-Fermes
02201,02,3.14960,49.32400,Cœuvres-et-Valsery
02203,02,3.43310,49.15480,Coincy
02204,02,4.09560,49.79280,Coingt
02205,02,3.62800,49.46960,Colligis-Crandelain
02206,02,3.71170,49.85750,Colonfay
02207,02,3.14880,49.64150,Commenchon
02208,02,3.78280,49.37810,Concevreux
02209,02,3.56020,48.99990,Condé-en-Brie
02210,02,3.46840,49.40140,Condé-sur-Aisne
02211,02,3.94470,49.41470,Condé-sur-Suippe
02212,02,3.27670,49.63320,Condren
02213,02,3.53200,49.03570,Connigis
